"row ID","City_Key","City","State_Province","Country","Continent","Sales_Territory","Region","Subregion","Latest_Recorded_Population"
"Row0",0,"Unknown","N/A","N/A","N/A","N/A","N/A","N/A",0
"Row1",1,"Carrollton","New York","United States","North America","Mideast","Americas","Northern America",0
"Row2",2,"Carrollton","Virginia","United States","North America","Southeast","Americas","Northern America",4574
"Row3",3,"Carrollton","Illinois","United States","North America","Great Lakes","Americas","Northern America",2484
"Row4",4,"Carrollton","Missouri","United States","North America","Plains","Americas","Northern America",3784
"Row5",5,"Carrollton","Ohio","United States","North America","Great Lakes","Americas","Northern America",3241
"Row6",6,"Carrollton","Kentucky","United States","North America","Southeast","Americas","Northern America",3938
"Row7",7,"Carrollton","Georgia","United States","North America","Southeast","Americas","Northern America",24388
"Row8",8,"Carrollton","Alabama","United States","North America","Southeast","Americas","Northern America",1019
"Row9",9,"Carrollton","Mississippi","United States","North America","Southeast","Americas","Northern America",190
"Row10",10,"Carrollton","Texas","United States","North America","Southwest","Americas","Northern America",119097
"Row11",11,"Carrollton Manor","Maryland","United States","North America","Mideast","Americas","Northern America",0
"Row12",12,"Carrolltown","Pennsylvania","United States","North America","Mideast","Americas","Northern America",853
"Row13",13,"Carrothers","Ohio","United States","North America","Great Lakes","Americas","Northern America",0
"Row14",14,"Carrsville","Virginia","United States","North America","Southeast","Americas","Northern America",359
"Row15",15,"Carrsville","Kentucky","United States","North America","Southeast","Americas","Northern America",50
"Row16",16,"Carsins","Maryland","United States","North America","Mideast","Americas","Northern America",0
"Row17",17,"Carson","New Mexico","United States","North America","Southwest","Americas","Northern America",0
"Row18",18,"Carson","California","United States","North America","Far West","Americas","Northern America",91714
"Row19",19,"Carson","Washington","United States","North America","Far West","Americas","Northern America",2279
"Row20",20,"Carson","North Dakota","United States","North America","Plains","Americas","Northern America",293
"Row21",21,"Carson","Iowa","United States","North America","Plains","Americas","Northern America",812
"Row22",22,"Carson City","Nevada","United States","North America","Far West","Americas","Northern America",55274
"Row23",23,"Carson City","Michigan","United States","North America","Great Lakes","Americas","Northern America",1093
"Row24",24,"Carsonville","Michigan","United States","North America","Great Lakes","Americas","Northern America",527
"Row25",25,"Carsonville","Georgia","United States","North America","Southeast","Americas","Northern America",0
"Row26",26,"Carta Valley","Texas","United States","North America","Southwest","Americas","Northern America",0
"Row27",27,"Cartago","California","United States","North America","Far West","Americas","Northern America",92
"Row28",28,"Carter","Wyoming","United States","North America","Rocky Mountain","Americas","Northern America",10
"Row29",29,"Carter","Montana","United States","North America","Rocky Mountain","Americas","Northern America",58
"Row30",30,"Carter","Tennessee","United States","North America","Southeast","Americas","Northern America",0
"Row31",31,"Carter","Wisconsin","United States","North America","Great Lakes","Americas","Northern America",0
"Row32",32,"Carter","Mississippi","United States","North America","Southeast","Americas","Northern America",0
"Row33",33,"Carter","South Dakota","United States","North America","Plains","Americas","Northern America",0
"Row34",34,"Carter","Kentucky","United States","North America","Southeast","Americas","Northern America",0
"Row35",35,"El Cenizo","Texas","United States","North America","Southwest","Americas","Northern America",3273
"Row36",36,"El Centro","California","United States","North America","Far West","Americas","Northern America",42598
"Row37",37,"El Cerrito","California","United States","North America","Far West","Americas","Northern America",23549
"Row38",38,"El Cerro","New Mexico","United States","North America","Southwest","Americas","Northern America",2953
"Row39",39,"El Combate","Puerto Rico (US Territory)","United States","North America","External","Americas","Northern America",423
"Row40",40,"El Dara","Illinois","United States","North America","Great Lakes","Americas","Northern America",78
"Row41",41,"El Dorado","Arkansas","United States","North America","Southeast","Americas","Northern America",18884
"Row42",42,"El Dorado","Kansas","United States","North America","Plains","Americas","Northern America",13021
"Row43",43,"El Dorado Hills","California","United States","North America","Far West","Americas","Northern America",42108
"Row44",44,"El Dorado Springs","Missouri","United States","North America","Plains","Americas","Northern America",3593
"Row45",45,"El Duende","New Mexico","United States","North America","Southwest","Americas","Northern America",707
