order_key,city_key,customer_key,stock_item_key,order_date_key,picked_date_key,salesperson_key,picker_key,package,quantity,unit_price,tax_rate,total_excluding_tax,tax_amount,total_including_tax
1,91,179,533,2014-02-05,2013-03-17,135,122,S,805,237.77,61,2245.39,305.4,7529.12
2,83,2,631,2015-11-17,2013-07-19,2,133,S,76,721.71,59,6585.7,135.12,8442.06
3,47,390,174,2015-04-29,2015-11-03,128,75,S,585,2866.71,9,8113.37,792.11,9934.49
4,8,218,157,2015-04-04,2014-12-03,84,191,S,878,4671.07,39,9109.56,668.65,6166.09
5,94,167,235,2015-01-26,2015-01-11,91,197,S,583,1950.68,24,9277.41,66.55,3885.52
6,3,376,124,2014-02-10,2013-06-05,135,181,S,727,775.09,13,3839.04,552.8,5915.45
7,10,328,44,2014-02-07,2016-07-29,105,11,S,679,4081.01,37,8618.58,770.8,6790.84
8,54,325,629,2013-10-23,2014-07-01,56,56,M,80,1852.75,6,2961.56,871.17,4732.12
9,64,263,357,2014-01-29,2015-01-18,184,25,S,777,295.73,41,9975.19,410.59,3029.9
10,87,236,607,2015-08-10,2014-06-25,71,200,XL,881,2036.81,22,8045.06,628.18,5774.81
11,63,191,132,2016-08-12,2015-04-22,40,203,S,454,2308.12,3,3785.4,204.46,1429.94
12,56,291,159,2016-04-07,2016-05-31,7,143,L,172,1004.38,54,3728.68,366.09,4800.93
13,15,262,96,2015-10-29,2014-02-20,35,146,XL,914,3844.28,36,2941.81,289.27,5884.16
14,33,2,572,2013-06-05,2014-12-17,124,97,S,359,4187.69,63,8397.44,835.95,3892.02
15,82,287,406,2013-06-24,2015-02-20,148,175,L,622,4001.01,23,2246.24,736.35,4473.1
16,42,58,453,2016-09-08,2016-12-29,35,57,S,776,1737.73,58,1595.86,908.54,144.2
17,28,367,586,2015-07-14,2013-08-18,1,64,S,936,3283.55,59,1490.8,261.31,1474.3
18,56,287,658,2016-07-22,2015-06-14,121,209,S,565,39.27,46,3340.08,540.07,2215.25
19,48,275,514,2013-09-30,2013-12-31,84,45,M,191,1602.83,55,8353.76,718.09,8016.07
20,1,25,182,2013-11-15,2015-06-25,167,173,M,905,888.19,30,7910.58,59.5,9966.05
21,35,314,195,2013-03-04,2016-04-19,76,87,S,290,3033.09,41,9022.18,658.25,4022.56
22,73,135,57,2013-04-03,2015-08-25,37,81,S,565,3395.09,13,7549.92,978.39,9127.91
23,68,221,215,2014-05-16,2014-05-06,54,156,S,919,4158.08,33,6902.93,872.21,8585.43
24,51,382,399,2016-06-18,2016-02-26,186,51,S,589,4703.94,56,3509.72,970.54,4039.21
25,82,78,336,2014-09-08,2013-01-21,74,188,L,92,882.1,52,3491.58,511.27,4642.07
26,19,19,15,2016-01-16,2014-04-20,87,191,S,180,1272.34,20,7524.26,511.38,4492.06
27,70,182,366,2016-08-05,2014-01-05,105,201,XL,873,4322.05,67,5496.06,188.04,5518.57
28,39,342,499,2013-12-13,2016-10-21,185,153,S,275,2345.98,42,2067.02,541.87,4039.17
29,75,115,292,2013-06-21,2014-05-16,76,179,S,627,235.36,24,7558.07,67.43,7319.82
30,13,347,61,2014-12-22,2016-10-31,147,88,M,726,4852.25,5,1347.37,170.32,7499.71
31,50,122,13,2015-08-26,2016-02-27,136,156,S,245,352.08,52,1279.2,928.84,811.24
32,46,144,372,2014-06-16,2013-05-12,187,146,S,534,4941.47,50,8124.53,118.31,3203.51
33,34,65,351,2014-12-30,2016-10-10,94,162,S,944,3020.54,21,9972.77,175.67,1210.74
34,79,13,637,2016-06-14,2014-02-27,33,168,XL,120,2415.91,49,3946.7,108.23,5689.84
35,67,348,192,2016-02-18,2015-05-01,122,57,M,802,1341.29,58,9881.04,821.63,9617.69
36,82,235,267,2014-06-26,2015-03-14,103,86,S,337,2340.28,1,1767.22,423.91,5779.05
37,61,289,428,2014-10-15,2013-01-20,108,189,M,590,2957.18,23,5772.38,990.1,9239.65
38,20,255,332,2015-11-03,2014-03-21,29,159,M,636,3075.27,55,5347.9,787.11,2821.82
39,71,256,396,2013-10-05,2016-05-07,12,141,L,73,3888.72,16,5209.07,842.04,809.85
40,88,40,211,2013-11-07,2014-03-06,57,135,S,180,4185.29,37,1125.57,510.4,1926.51
41,88,27,128,2014-09-20,2015-05-29,27,118,S,495,2406.02,63,5279.05,925.05,4066.06
42,50,75,188,2015-01-04,2015-08-13,162,8,S,614,862.34,61,1162.07,142.17,324.93
43,77,268,163,2013-06-30,2013-07-20,72,163,L,746,23.93,45,4681.9,830.71,3993.31
44,65,33,353,2016-10-21,2013-12-03,98,98,X,50,4556.29,45,5712.56,313.71,3240.42
45,36,352,652,2016-09-08,2016-04-08,143,182,L,180,4052.44,62,1802.57,380.68,2115.5
46,89,307,606,2014-03-21,2013-02-01,58,22,M,640,4373.28,64,9768.14,603.33,8408.35
47,39,206,548,2015-03-30,2016-03-03,76,122,S,957,4842.33,13,295.97,984.56,9846.94
48,66,4,292,2013-06-08,2016-05-26,8,62,M,996,2930.85,6,1214.21,154.86,2892.36
49,13,250,239,2015-10-25,2016-03-17,145,67,S,685,3023.64,18,9927.12,844.37,7813.54
50,57,227,382,2014-09-18,2013-09-01,7,193,S,444,829.02,42,7109.84,71.45,4573.04
51,15,300,111,2013-07-27,2016-11-12,76,6,X,584,2925.79,12,2670.53,943.93,3813.93
52,41,22,153,2013-05-17,2016-02-01,179,190,M,631,1628.54,26,1650.29,963.32,1728.21
53,52,40,30,2014-06-20,2016-07-03,194,104,S,712,1533.49,5,8123.56,54.45,8645.27
54,35,196,387,2016-05-10,2015-11-01,202,157,S,873,2239.97,19,9477.83,971.51,1084.15
55,19,127,323,2013-04-19,2013-06-12,190,64,S,413,3002.2,60,7352.72,855.28,7236.15
56,9,87,453,2013-08-25,2015-02-11,16,194,X,415,1558.31,19,3103.19,353.46,5059.15
57,59,275,4,2015-10-07,2014-01-10,201,126,S,368,2449.78,3,8102.71,333.49,2564.07
58,63,385,456,2016-02-05,2013-05-28,58,199,S,772,672.16,56,5857.26,279.2,2373.86
59,61,91,433,2013-07-15,2016-10-26,94,184,S,300,939.72,64,2353.81,335.13,7747.33
60,29,285,415,2013-03-21,2013-08-21,39,172,X,463,817.21,55,2498.49,455.42,7949.33
61,81,124,243,2013-11-08,2013-06-02,114,164,X,348,1974.99,19,6285.09,850.01,6976.1
62,56,112,518,2016-04-24,2016-03-09,69,183,X,220,2391.27,33,7586.28,806.93,5450.61
63,10,216,206,2014-08-08,2015-09-20,79,148,X,981,181.39,67,2249.89,506.9,487.51
64,31,312,294,2016-06-09,2014-04-02,115,55,X,537,2939.83,29,3805.79,863.37,2977.38
65,72,300,293,2016-08-29,2016-08-04,34,12,L,937,3655.69,32,8432.2,929.25,4981.71
66,58,337,306,2014-01-25,2016-05-04,149,155,S,668,1318.11,2,8849.76,671.13,271.15
67,37,45,642,2013-08-05,2014-10-02,29,120,S,187,2849.78,11,6799.69,651.18,6212.04
68,87,308,68,2013-01-27,2016-03-08,115,3,M,770,1075.83,45,4411.25,95.21,3595.39
69,58,81,609,2016-07-19,2016-05-13,138,74,S,141,1305.65,63,2560.9,890.09,1951.48
70,45,387,211,2013-01-02,2013-08-24,107,143,M,952,1484.94,27,8996.23,299.37,6782.77
71,71,119,302,2015-01-03,2016-07-25,190,2,S,226,3083.83,15,2460.67,99.11,6327.86
72,34,239,108,2013-03-25,2016-08-09,166,93,L,347,4297.74,3,1353.03,232.47,2260.78
73,17,307,132,2016-10-26,2015-07-28,112,125,S,351,4322.4,33,8842.62,63.66,4929.68
74,58,74,368,2015-07-14,2013-10-02,19,33,M,330,200.93,14,7859.13,61.34,8227.05
75,58,97,250,2015-12-24,2015-05-07,189,25,X,610,666.12,44,3959.94,695.26,1088.72
76,8,281,40,2016-09-06,2016-06-04,141,198,M,62,4661.19,56,5184.57,488.3,8522.78
77,29,175,633,2014-11-08,2013-03-30,87,110,S,211,3275.7,61,5558.18,772.86,1291.23
78,3,76,193,2015-04-02,2016-07-20,24,9,S,870,4249.68,7,6345.42,577.07,6639.8
79,14,209,381,2013-08-21,2016-05-06,79,43,L,443,846.28,28,4089.06,532.08,7782.81
80,8,375,386,2016-11-11,2013-08-16,143,36,L,376,3673.66,14,2977.17,979.48,2857.51
81,12,390,431,2013-12-16,2015-07-13,24,138,S,292,2148.62,25,1953.92,994.97,3035.32
82,62,274,313,2014-01-02,2015-03-27,57,36,M,987,3516.18,58,7801.21,490.15,6384.65
83,19,353,261,2013-08-04,2015-01-22,125,54,L,916,1081.45,21,6916.08,378.27,6640.91
84,94,383,244,2016-12-29,2016-11-01,23,123,S,106,1063.46,15,5585.49,523.17,7394.01
85,3,9,164,2013-09-28,2014-07-19,115,175,S,842,410.85,22,9074.29,703.31,9583.78
86,55,123,429,2016-05-15,2013-03-02,17,197,S,753,2388.02,56,1457.71,86.29,9120.1
87,23,381,579,2016-08-04,2016-06-26,198,109,S,886,2967.38,54,5166.7,56.96,7378.25
88,19,365,6,2013-01-09,2013-09-04,9,192,S,312,3800.47,9,5131.55,910.51,4207.29
89,17,227,488,2013-05-11,2013-08-16,70,120,M,72,1877.07,50,4951.27,272.52,2577.51
90,28,12,269,2016-10-29,2016-06-26,204,170,X,431,2243.62,29,9954.88,910.93,4238.04
91,53,16,171,2015-12-04,2015-06-28,23,78,S,686,4419.99,51,2540.26,333.48,8908.73
92,73,56,361,2015-03-14,2016-02-02,46,132,S,963,379.65,42,8501.37,447.14,2729.91
93,12,332,463,2014-01-11,2013-11-22,2,195,S,831,1503.59,9,7420.34,973.03,4909.36
94,56,299,411,2015-03-24,2016-02-29,147,197,S,934,3285.21,31,780.69,593.92,3946.78
95,44,163,579,2015-08-03,2013-12-28,64,190,S,141,3756.68,24,2887.46,210.26,6074.0
96,84,85,407,2014-09-15,2014-02-18,188,25,X,29,1290.71,51,9876.56,970.86,5319.01
97,7,2,659,2016-11-05,2016-07-24,99,186,S,170,1868.76,63,7910.0,498.86,3416.45
98,37,268,69,2014-11-13,2013-07-12,158,62,S,583,3392.16,30,9288.14,195.19,3921.48
99,80,179,424,2015-01-05,2014-07-20,109,91,S,896,4435.38,39,7569.26,56.72,4277.73
100,62,102,158,2016-05-14,2015-04-16,59,87,M,254,2388.09,37,3956.82,497.5,3902.73
101,19,347,189,2013-06-02,2016-05-29,164,48,L,565,328.92,1,3466.23,936.72,9799.86
102,10,26,194,2015-06-06,2015-02-14,67,143,S,83,1579.54,1,8561.05,776.26,1922.78
103,27,178,466,2013-09-29,2013-08-13,103,81,S,406,2960.76,7,3334.6,312.36,6387.25
104,16,3,567,2014-03-04,2014-12-12,129,150,S,263,986.61,23,9312.89,77.69,7066.65
105,87,175,54,2013-02-14,2014-12-04,152,177,S,228,865.68,25,8690.66,948.53,2097.36
106,93,41,650,2013-01-25,2016-09-20,150,94,S,455,1566.74,22,4717.15,697.3,9226.55
107,18,295,70,2016-05-25,2015-11-21,205,147,S,392,1991.65,21,9315.45,301.94,3529.64
108,52,294,145,2016-11-18,2013-10-07,153,102,L,959,4445.59,31,8181.59,186.96,3010.06
109,58,345,342,2014-06-19,2014-09-09,31,17,S,86,2003.41,58,7833.75,215.36,4308.55
110,39,140,446,2016-12-14,2015-11-09,122,124,M,721,3178.49,65,834.06,378.05,6906.36
111,63,53,416,2013-03-10,2015-09-30,176,195,S,868,3583.4,29,7877.18,135.91,5315.63
112,88,101,487,2014-08-18,2013-08-11,203,27,L,738,2960.1,12,449.33,530.23,480.86
113,91,171,485,2013-06-01,2013-04-17,69,209,M,241,1838.77,35,5609.44,465.77,8093.55
114,69,292,431,2015-02-09,2014-04-24,105,132,M,543,4803.22,32,2675.63,292.8,710.03
115,31,371,648,2014-06-23,2014-03-02,197,35,L,902,1498.0,7,8583.24,762.8,6291.15
116,62,228,38,2014-05-24,2015-07-11,89,196,L,956,1290.81,8,8603.03,155.43,3436.65
117,75,174,179,2013-12-31,2015-12-18,19,189,S,851,4279.25,21,8257.17,653.71,4094.0
118,26,98,184,2016-03-21,2015-11-19,195,118,S,662,2851.25,53,9329.96,263.89,1435.73
119,44,186,341,2013-08-10,2016-03-15,43,145,S,301,615.99,14,4369.69,732.62,4268.0
120,48,311,301,2016-03-06,2014-12-15,137,9,XL,350,1913.59,41,2935.15,134.41,8022.09
